screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,39,exclude,group 13,0,0.510045,0.99,0.479955,0,
upper-bound,39,exclude,group 14,1,0.501646,0.99,0.488354,0,
upper-bound,39,exclude,group 17,1,0.735478,0.99,0.254522,0,
upper-bound,39,exclude,group 18,1,0.836787,0.99,0.153213,0,
upper-bound,39,exclude,group 19,0,0.924674,0.99,0.0653259,0,
upper-bound,39,exclude,group 20,0,0.167538,0.99,0.822462,0,
upper-bound,39,exclude,group 23,0,0.99,0.99,1.08038e-09,1,at upper bound
upper-bound,39,exclude,group 29,0,0.174396,0.99,0.815604,0,
upper-bound,40,include,group 1,0,0.218019,0.99,0.771981,0,
upper-bound,40,include,group 6,0,0.32096,0.99,0.66904,0,
upper-bound,40,include,group 7,1,0.502331,0.99,0.487669,0,
upper-bound,40,include,group 10,1,0.57339,0.99,0.41661,0,
upper-bound,40,include,group 13,0,0.563048,0.99,0.426952,0,
upper-bound,40,include,group 14,1,0.498027,0.99,0.491973,0,
upper-bound,40,include,group 17,1,0.737616,0.99,0.252384,0,
upper-bound,40,include,group 18,1,0.752725,0.99,0.237275,0,
upper-bound,40,include,group 19,0,0.99,0.99,1.60319e-08,1,at upper bound
upper-bound,40,include,group 20,0,0.250225,0.99,0.739775,0,
upper-bound,40,include,group 23,0,0.99,0.99,2.59999e-09,1,at upper bound
upper-bound,40,include,group 29,0,0.132948,0.99,0.857052,0,
upper-bound,41,exclude,group 1,0,0.31039,0.99,0.67961,0,
upper-bound,41,exclude,group 6,0,0.924638,0.99,0.0653621,0,
upper-bound,41,exclude,group 7,1,0.659414,0.99,0.330586,0,
upper-bound,41,exclude,group 10,1,0.611308,0.99,0.378692,0,
upper-bound,41,exclude,group 13,0,0.728055,0.99,0.261945,0,
upper-bound,41,exclude,group 14,1,0.502234,0.99,0.487766,0,
upper-bound,41,exclude,group 17,1,0.841412,0.99,0.148588,0,
upper-bound,41,exclude,group 18,1,0.936163,0.99,0.0538371,0,
upper-bound,41,exclude,group 19,0,0.99,0.99,3.03818e-09,1,at upper bound
upper-bound,41,exclude,group 20,0,0.443556,0.99,0.546444,0,
